NoOfShots,Avg_rouge-1,Variance_rouge-1,Repetition_rouge-1,Avg_rouge-2,Variance_rouge-2,Repetition_rouge-2,Avg_rouge-3,Variance_rouge-3,Repetition_rouge-3,Avg_rouge-4,Variance_rouge-4,Repetition_rouge-4,Avg_rouge-l,Variance_rouge-l,Repetition_rouge-l,Avg_rouge-s1,Variance_rouge-s1,Repetition_rouge-s1,Avg_meteor,Variance_meteor,Repetition_meteor,Avg_BERTScore,Variance_BERTScore,Repetition_BERTScore
0.0,0.26,0.0013022858480024333,"[0.23, 0.21, 0.28, 0.29, 0.28, 0.23, 0.29, 0.31, 0.25, 0.2]",0.1,0.0005864087068140514,"[0.07, 0.06, 0.13, 0.12, 0.12, 0.08, 0.12, 0.09, 0.11, 0.09]",0.03,0.00024982791129119836,"[0.02, 0.0, 0.04, 0.03, 0.05, 0.01, 0.03, 0.02, 0.04, 0.01]",0.01,5.4613534318085654e-05,"[0.01, 0.0, 0.01, 0.0, 0.02, 0.01, 0.01, 0.0, 0.02, 0.0]",0.25,0.0012783270391675218,"[0.22, 0.21, 0.28, 0.28, 0.27, 0.22, 0.28, 0.3, 0.25, 0.2]",0.09,0.0005741051296203488,"[0.06, 0.05, 0.12, 0.11, 0.11, 0.07, 0.11, 0.09, 0.1, 0.07]",0.4,0.002289231022781227,"[0.48, 0.33, 0.39, 0.43, 0.42, 0.38, 0.45, 0.44, 0.37, 0.34]",0.89,4.6285563278816346e-05,"[0.9, 0.88, 0.9, 0.9, 0.9, 0.89, 0.89, 0.9, 0.89, 0.88]"
1.0,0.62,0.0017810797989675328,"[0.65, 0.6, 0.67, 0.61, 0.67, 0.52, 0.64, 0.62, 0.62, 0.64]",0.47,0.0023745755480261204,"[0.5, 0.43, 0.52, 0.49, 0.49, 0.35, 0.51, 0.45, 0.48, 0.48]",0.34,0.0026898020099499734,"[0.35, 0.29, 0.4, 0.39, 0.33, 0.23, 0.39, 0.31, 0.34, 0.33]",0.16,0.0017953923603274834,"[0.15, 0.19, 0.23, 0.2, 0.12, 0.11, 0.2, 0.11, 0.13, 0.12]",0.62,0.0018056872120523026,"[0.65, 0.6, 0.67, 0.6, 0.67, 0.52, 0.64, 0.62, 0.62, 0.64]",0.43,0.0023817981741176336,"[0.46, 0.39, 0.49, 0.46, 0.45, 0.32, 0.47, 0.41, 0.44, 0.44]",0.68,0.0005555595604304839,"[0.71, 0.67, 0.71, 0.68, 0.7, 0.63, 0.7, 0.67, 0.68, 0.68]",0.95,1.615833156643943e-05,"[0.95, 0.95, 0.96, 0.95, 0.95, 0.94, 0.96, 0.95, 0.95, 0.95]"
2.0,0.63,0.00045221966183038635,"[0.64, 0.66, 0.65, 0.66, 0.64, 0.62, 0.61, 0.59, 0.65, 0.61]",0.49,0.0008076509940845469,"[0.48, 0.51, 0.51, 0.54, 0.49, 0.5, 0.46, 0.44, 0.5, 0.47]",0.38,0.0007071373879214287,"[0.36, 0.39, 0.39, 0.43, 0.38, 0.38, 0.37, 0.33, 0.39, 0.37]",0.2,0.00036571953249358636,"[0.18, 0.2, 0.2, 0.24, 0.2, 0.19, 0.19, 0.21, 0.2, 0.19]",0.63,0.0004457844568359694,"[0.64, 0.65, 0.65, 0.66, 0.64, 0.62, 0.61, 0.59, 0.65, 0.61]",0.45,0.0008290236474982486,"[0.45, 0.47, 0.47, 0.51, 0.46, 0.46, 0.43, 0.4, 0.47, 0.43]",0.68,0.0004975220434481086,"[0.68, 0.69, 0.68, 0.72, 0.67, 0.7, 0.66, 0.66, 0.72, 0.66]",0.95,8.17038018177055e-06,"[0.95, 0.96, 0.95, 0.96, 0.95, 0.95, 0.95, 0.95, 0.96, 0.95]"
3.0,0.63,0.0013467265643955526,"[0.64, 0.63, 0.64, 0.68, 0.65, 0.58, 0.61, 0.59, 0.61, 0.69]",0.47,0.0014888535952331087,"[0.43, 0.48, 0.46, 0.51, 0.51, 0.4, 0.45, 0.43, 0.47, 0.52]",0.33,0.0013944532616261454,"[0.25, 0.34, 0.32, 0.35, 0.37, 0.29, 0.33, 0.32, 0.32, 0.38]",0.14,0.0005848264485996612,"[0.14, 0.14, 0.12, 0.15, 0.16, 0.19, 0.14, 0.12, 0.11, 0.17]",0.63,0.0013467265643955526,"[0.64, 0.63, 0.64, 0.68, 0.65, 0.58, 0.61, 0.59, 0.61, 0.69]",0.43,0.0014937475029261993,"[0.37, 0.44, 0.42, 0.46, 0.46, 0.37, 0.42, 0.4, 0.43, 0.48]",0.68,0.0009175117642989122,"[0.68, 0.67, 0.68, 0.72, 0.69, 0.63, 0.66, 0.64, 0.66, 0.73]",0.95,1.874457732258968e-05,"[0.95, 0.95, 0.96, 0.95, 0.96, 0.95, 0.95, 0.95, 0.95, 0.96]"
4.0,0.65,0.0020010816869993485,"[0.66, 0.57, 0.72, 0.69, 0.66, 0.59, 0.62, 0.68, 0.65, 0.62]",0.47,0.0024269203917945317,"[0.51, 0.38, 0.54, 0.51, 0.45, 0.43, 0.46, 0.51, 0.47, 0.43]",0.32,0.002486312809929566,"[0.37, 0.21, 0.37, 0.35, 0.28, 0.31, 0.32, 0.36, 0.34, 0.28]",0.14,0.000943611594502789,"[0.17, 0.09, 0.17, 0.15, 0.09, 0.12, 0.14, 0.15, 0.13, 0.17]",0.64,0.002004226999479292,"[0.66, 0.57, 0.72, 0.69, 0.66, 0.59, 0.62, 0.68, 0.64, 0.62]",0.43,0.002843836569154348,"[0.47, 0.33, 0.51, 0.48, 0.4, 0.41, 0.42, 0.47, 0.44, 0.38]",0.69,0.0010731586231030397,"[0.71, 0.65, 0.75, 0.71, 0.67, 0.64, 0.66, 0.7, 0.7, 0.71]",0.95,2.698372906320822e-05,"[0.96, 0.94, 0.96, 0.96, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95]"
5.0,0.67,0.0008281123616463245,"[0.63, 0.7, 0.64, 0.68, 0.7, 0.66, 0.67, 0.65, 0.72, 0.69]",0.49,0.0018160720768180508,"[0.43, 0.49, 0.47, 0.51, 0.56, 0.48, 0.49, 0.44, 0.55, 0.53]",0.34,0.004291206162049537,"[0.27, 0.3, 0.34, 0.37, 0.45, 0.31, 0.32, 0.24, 0.39, 0.41]",0.19,0.0023119253916962118,"[0.16, 0.18, 0.23, 0.16, 0.28, 0.18, 0.19, 0.11, 0.24, 0.2]",0.67,0.0008281123616463245,"[0.63, 0.7, 0.64, 0.68, 0.7, 0.66, 0.67, 0.65, 0.72, 0.69]",0.45,0.0023520963018127793,"[0.4, 0.43, 0.43, 0.48, 0.53, 0.43, 0.44, 0.39, 0.5, 0.5]",0.73,0.001181400188781579,"[0.69, 0.74, 0.7, 0.71, 0.76, 0.71, 0.72, 0.72, 0.81, 0.73]",0.95,1.8734335159721303e-05,"[0.95, 0.95, 0.95, 0.95, 0.96, 0.95, 0.95, 0.95, 0.96, 0.96]"
6.0,0.71,0.0015320408952318152,"[0.63, 0.75, 0.68, 0.72, 0.72, 0.69, 0.7, 0.73, 0.76, 0.74]",0.53,0.0018480047565310677,"[0.43, 0.54, 0.5, 0.52, 0.54, 0.52, 0.54, 0.54, 0.6, 0.54]",0.35,0.0024378726067163527,"[0.24, 0.35, 0.34, 0.31, 0.37, 0.36, 0.39, 0.34, 0.43, 0.38]",0.2,0.0024243303577423402,"[0.09, 0.17, 0.23, 0.17, 0.23, 0.23, 0.18, 0.2, 0.24, 0.26]",0.71,0.0015461001389264577,"[0.63, 0.75, 0.68, 0.72, 0.72, 0.69, 0.69, 0.73, 0.76, 0.74]",0.48,0.0017848896110238327,"[0.39, 0.51, 0.45, 0.47, 0.49, 0.47, 0.5, 0.48, 0.55, 0.49]",0.77,0.0005508907836466454,"[0.72, 0.76, 0.74, 0.77, 0.77, 0.78, 0.76, 0.79, 0.8, 0.78]",0.96,2.473102694183783e-05,"[0.95, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.96, 0.97, 0.96]"
7.0,0.71,0.002089359411121476,"[0.69, 0.75, 0.76, 0.73, 0.71, 0.7, 0.67, 0.63, 0.68, 0.78]",0.51,0.0021627214135219535,"[0.48, 0.55, 0.57, 0.53, 0.49, 0.5, 0.45, 0.44, 0.48, 0.57]",0.32,0.002384490792166469,"[0.28, 0.38, 0.39, 0.35, 0.27, 0.31, 0.26, 0.29, 0.32, 0.37]",0.19,0.003000808629236088,"[0.12, 0.27, 0.29, 0.22, 0.15, 0.17, 0.16, 0.16, 0.21, 0.17]",0.71,0.001959323846395923,"[0.69, 0.75, 0.76, 0.73, 0.71, 0.7, 0.67, 0.63, 0.68, 0.77]",0.46,0.002287898222937992,"[0.41, 0.5, 0.52, 0.48, 0.44, 0.45, 0.39, 0.4, 0.44, 0.53]",0.75,0.0013788455072732716,"[0.75, 0.8, 0.79, 0.78, 0.74, 0.75, 0.71, 0.7, 0.71, 0.78]",0.96,1.632185713666121e-05,"[0.96, 0.96, 0.96, 0.96, 0.95, 0.96, 0.95, 0.95, 0.95, 0.96]"
8.0,0.69,0.0016532051173416829,"[0.66, 0.74, 0.67, 0.71, 0.63, 0.69, 0.72, 0.65, 0.76, 0.7]",0.51,0.0016836794882216083,"[0.46, 0.54, 0.5, 0.51, 0.47, 0.54, 0.51, 0.5, 0.6, 0.51]",0.35,0.002727779550264102,"[0.27, 0.36, 0.33, 0.31, 0.33, 0.38, 0.33, 0.34, 0.47, 0.33]",0.17,0.0035464211257975322,"[0.14, 0.16, 0.14, 0.11, 0.18, 0.2, 0.21, 0.12, 0.31, 0.13]",0.69,0.0015851780881429405,"[0.66, 0.73, 0.67, 0.71, 0.63, 0.69, 0.72, 0.65, 0.76, 0.7]",0.47,0.0020649036884489674,"[0.4, 0.49, 0.45, 0.48, 0.44, 0.5, 0.46, 0.44, 0.57, 0.46]",0.73,0.001430619202843161,"[0.71, 0.74, 0.71, 0.77, 0.69, 0.7, 0.77, 0.69, 0.8, 0.74]",0.96,1.734192435011099e-05,"[0.95, 0.96, 0.96, 0.96, 0.95, 0.96, 0.96, 0.96, 0.97, 0.96]"
9.0,0.7,0.0005331125297375908,"[0.65, 0.7, 0.7, 0.71, 0.7, 0.67, 0.73, 0.72, 0.7, 0.73]",0.52,0.001146274013356353,"[0.49, 0.55, 0.53, 0.51, 0.49, 0.47, 0.57, 0.53, 0.5, 0.57]",0.34,0.0017258741114454153,"[0.33, 0.38, 0.35, 0.31, 0.3, 0.28, 0.4, 0.34, 0.31, 0.4]",0.15,0.0025624104286331812,"[0.17, 0.21, 0.15, 0.1, 0.1, 0.09, 0.21, 0.16, 0.09, 0.2]",0.7,0.0005331125297375908,"[0.65, 0.7, 0.7, 0.71, 0.7, 0.67, 0.73, 0.72, 0.7, 0.73]",0.48,0.0011273798664266416,"[0.45, 0.51, 0.48, 0.46, 0.46, 0.42, 0.53, 0.48, 0.46, 0.52]",0.72,0.0006170726352026105,"[0.67, 0.72, 0.73, 0.72, 0.72, 0.69, 0.73, 0.73, 0.74, 0.75]",0.96,9.781798088676284e-06,"[0.95, 0.96, 0.96, 0.96, 0.96, 0.95, 0.96, 0.97, 0.96, 0.96]"
10.0,0.74,0.0012157929652040472,"[0.77, 0.77, 0.72, 0.72, 0.67, 0.77, 0.75, 0.71, 0.71, 0.77]",0.58,0.0014072265327323655,"[0.6, 0.63, 0.55, 0.55, 0.51, 0.63, 0.6, 0.58, 0.55, 0.59]",0.42,0.001727811297812923,"[0.43, 0.47, 0.38, 0.39, 0.37, 0.49, 0.43, 0.45, 0.36, 0.41]",0.22,0.0032337716148299594,"[0.23, 0.18, 0.22, 0.24, 0.2, 0.34, 0.23, 0.26, 0.18, 0.13]",0.74,0.0012157929652040472,"[0.77, 0.77, 0.72, 0.72, 0.67, 0.77, 0.75, 0.71, 0.71, 0.77]",0.54,0.0013684471508366232,"[0.55, 0.59, 0.52, 0.52, 0.47, 0.59, 0.55, 0.53, 0.5, 0.56]",0.75,0.0007607889233207043,"[0.78, 0.78, 0.73, 0.72, 0.7, 0.77, 0.77, 0.73, 0.74, 0.77]",0.96,1.6799942356424718e-05,"[0.97, 0.97, 0.96, 0.96, 0.96, 0.97, 0.96, 0.96, 0.96, 0.96]"
